soc_code,title,dv_rating_beta,dv_rating_alpha,human_rating_beta,sml_score,gaia_e,group,median_annual_wage,employment,aei_task_success,aei_autonomy_pct
11-3071.00,"Transportation, Storage, and Distribution Managers",48.2,3.6,47.3,,0.482,Management,,,74.5,60.8
11-3071.04,Supply Chain Managers,49.1,0.0,47.3,,0.491,Management,,,64.2,65.0
11-3111.00,Compensation and Benefits Managers,51.3,13.2,46.1,58.6,0.4648,Management,,,81.3,59.2
11-3121.00,Human Resources Managers,48.0,4.0,45.0,69.8,0.578,Management,,,85.4,59.2
11-3131.00,Training and Development Managers,50.0,9.1,47.7,,0.5,Management,,,73.9,65.8
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",36.7,4.1,24.5,,0.367,Management,,,81.8,60.0
11-9021.00,Construction Managers,44.4,4.4,40.0,63.3,0.4848,Management,,,77.9,60.0
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",46.9,6.2,51.6,,0.469,Management,,,67.8,55.0
11-9032.00,"Education Administrators, Kindergarten through Secondary",41.8,1.8,45.5,67.3,0.518,Management,,,68.0,57.8
11-9033.00,"Education Administrators, Postsecondary",43.9,2.4,47.6,65.6,0.5088,Management,,,70.0,58.2
11-9041.00,Architectural and Engineering Managers,47.1,0.0,38.6,55.8,0.4114,Management,,,55.1,54.8
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,41.4,10.3,27.6,66.7,0.5091,Management,,,93.3,66.8
11-9051.00,Food Service Managers,41.7,6.2,39.6,61.1,0.4458,Management,,,70.7,61.5
11-9071.00,Gambling Managers,57.4,32.4,48.5,,0.574,Management,,,83.7,59.0
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",35.3,17.6,38.2,,0.353,Management,,,,50.7
11-9081.00,Lodging Managers,45.7,4.3,38.0,72.7,0.6,Management,,,68.6,56.2
11-9111.00,Medical and Health Services Managers,42.9,0.0,37.1,50.5,0.3291,Management,,,68.7,58.2
11-9121.00,Natural Sciences Managers,56.7,13.3,56.7,61.7,0.5277,Management,,,60.7,60.2
11-9121.01,Clinical Research Coordinators,52.5,15.3,46.6,60.6,0.494,Management,,,67.7,59.8
11-9121.02,Water Resource Specialists,50.0,4.9,42.7,59.6,0.4699,Management,,,73.1,53.8
11-9131.00,Postmasters and Mail Superintendents,52.4,14.3,45.2,,0.524,Management,,,,61.8
11-9141.00,"Property, Real Estate, and Community Association Managers",44.3,0.0,43.2,,0.443,Management,,,74.0,53.5
11-9151.00,Social and Community Service Managers,39.3,7.1,44.6,,0.393,Management,,,63.2,57.0
11-9161.00,Emergency Management Directors,42.2,0.0,60.0,60.0,0.4356,Management,,,73.9,54.2
11-9171.00,Funeral Home Managers,42.9,14.3,53.6,,0.429,Management,,,55.8,57.2
11-9179.01,Fitness and Wellness Coordinators,38.0,8.7,29.3,,0.38,Management,,,84.8,61.3
11-9179.02,Spa Managers,52.4,23.8,35.7,,0.524,Management,,,65.1,56.8
11-9199.01,Regulatory Affairs Managers,55.8,11.5,53.8,55.4,0.4503,Management,,,64.5,59.2
11-9199.02,Compliance Managers,52.0,8.0,54.0,60.8,0.4938,Management,,,80.2,57.5
11-9199.08,Loss Prevention Managers,43.4,5.7,36.8,,0.434,Management,,,78.5,63.2
11-9199.09,Wind Energy Operations Managers,43.8,6.2,40.6,,0.438,Management,,,90.9,58.0
11-9199.10,Wind Energy Development Managers,53.3,6.7,53.3,61.7,0.5107,Management,,,70.2,61.3
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,46.5,4.7,40.7,68.1,0.5508,Management,,,,
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",54.3,17.4,37.0,,0.543,Business & Financial,,,64.9,59.8
13-1021.00,"Buyers and Purchasing Agents, Farm Products",52.8,5.6,25.0,61.3,0.5036,Business & Financial,,,,62.0
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",46.7,3.3,40.0,67.3,0.5426,Business & Financial,,,63.0,52.5
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",47.4,5.3,36.8,62.3,0.4882,Business & Financial,,,70.9,54.5
13-1031.00,"Claims Adjusters, Examiners, and Investigators",52.0,8.0,49.0,,0.52,Business & Financial,,,69.1,53.2
13-1032.00,"Insurance Appraisers, Auto Damage",50.0,0.0,50.0,,0.5,Business & Financial,,,,70.5
13-1041.00,Compliance Officers,68.2,45.5,61.4,,0.682,Business & Financial,,,75.3,51.2
13-1041.01,Environmental Compliance Inspectors,45.1,17.1,48.8,63.1,0.4859,Business & Financial,,,59.1,50.0
13-1041.03,Equal Opportunity Representatives and Officers,60.0,40.0,50.0,,0.6,Business & Financial,,,82.5,65.0
13-1041.04,Government Property Inspectors and Investigators,44.1,11.8,35.3,57.8,0.4196,Business & Financial,,,60.5,51.2
13-1041.06,Coroners,33.8,13.5,45.9,63.8,0.4375,Business & Financial,,,83.1,61.8
13-1041.07,Regulatory Affairs Specialists,53.6,8.9,67.0,62.1,0.5168,Business & Financial,,,71.9,55.5
13-1041.08,Customs Brokers,63.6,27.3,60.2,,0.636,Business & Financial,,,62.9,53.2
13-1051.00,Cost Estimators,50.0,0.0,48.1,59.2,0.4653,Business & Financial,,,71.6,60.2
13-1071.00,Human Resources Specialists,64.4,33.3,58.9,74.8,0.7178,Business & Financial,,,79.8,59.0
13-1074.00,Farm Labor Contractors,14.3,0.0,0.0,59.1,0.2856,Business & Financial,,,,
13-1075.00,Labor Relations Specialists,54.7,17.0,44.3,64.1,0.5455,Business & Financial,,,79.4,53.5
13-1081.00,Logisticians,50.0,9.1,45.5,57.9,0.4502,Business & Financial,,,66.1,60.2
13-1081.01,Logistics Engineers,51.8,3.5,68.4,57.0,0.4488,Business & Financial,,,62.3,63.0
13-1081.02,Logistics Analysts,56.6,13.2,65.1,62.3,0.5341,Business & Financial,,,75.9,60.0
13-1082.00,Project Management Specialists,55.0,10.0,40.0,,0.55,Business & Financial,,,,53.5
13-1111.00,Management Analysts,40.5,9.5,50.0,58.1,0.405,Business & Financial,,,62.4,63.5
13-1121.00,"Meeting, Convention, and Event Planners",48.6,10.8,36.5,56.9,0.4316,Business & Financial,,,58.6,56.5
13-1131.00,Fundraisers,51.9,15.4,49.0,53.1,0.4042,Business & Financial,,,79.2,59.2
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",47.4,7.9,47.4,65.6,0.5264,Business & Financial,,,63.9,64.5
13-1151.00,Training and Development Specialists,55.3,10.5,59.2,62.7,0.5323,Business & Financial,,,59.4,65.0
13-1161.00,Market Research Analysts and Marketing Specialists,50.0,0.0,57.7,59.7,0.471,Business & Financial,,,55.5,61.8
13-1161.01,Search Marketing Strategists,54.9,9.8,50.8,,0.549,Business & Financial,,,67.1,62.7
13-1199.04,Business Continuity Planners,57.3,14.6,50.0,50.8,0.4045,Business & Financial,,,65.8,61.5
13-1199.05,Sustainability Specialists,60.7,21.4,67.9,63.3,0.5662,Business & Financial,,,73.5,58.5
13-1199.06,Online Merchants,62.9,36.2,56.0,63.1,0.5749,Business & Financial,,,68.6,58.5
13-1199.07,Security Management Specialists,52.2,17.4,41.3,,0.522,Business & Financial,,,68.3,63.0
13-2011.00,Accountants and Auditors,56.0,12.0,52.0,,0.56,Business & Financial,,,69.0,60.5
13-2022.00,Appraisers of Personal and Business Property,57.1,14.3,57.1,,0.571,Business & Financial,,,,
13-2023.00,Appraisers and Assessors of Real Estate,49.1,1.8,46.4,,0.491,Business & Financial,,,61.3,60.0
13-2031.00,Budget Analysts,52.0,8.0,64.0,61.5,0.5019,Business & Financial,,,80.0,60.0
13-2041.00,Credit Analysts,55.6,11.1,55.6,,0.556,Business & Financial,,,75.3,57.2
13-2051.00,Financial and Investment Analysts,46.2,0.0,50.0,64.6,0.5088,Business & Financial,,,58.4,60.2
13-2052.00,Personal Financial Advisors,50.0,5.3,67.1,61.3,0.4896,Business & Financial,,,66.0,60.8
13-2053.00,Insurance Underwriters,57.1,14.3,50.0,62.5,0.539,Business & Financial,,,,55.0
13-2054.00,Financial Risk Specialists,53.3,6.7,58.3,,0.533,Business & Financial,,,65.2,62.0
13-2061.00,Financial Examiners,50.0,6.1,57.6,66.9,0.5544,Business & Financial,,,71.2,50.7
13-2071.00,Credit Counselors,62.5,27.3,69.3,72.5,0.6817,Business & Financial,,,78.6,57.5
13-2072.00,Loan Officers,59.1,20.5,64.8,57.2,0.4876,Business & Financial,,,74.8,58.5
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",58.1,19.4,67.7,65.3,0.5764,Business & Financial,,,81.2,52.8
13-2082.00,Tax Preparers,62.5,25.0,62.5,75.6,0.7176,Business & Financial,,,74.7,49.5
13-2099.01,Financial Quantitative Analysts,68.9,37.8,66.2,64.4,0.62,Business & Financial,,,64.3,60.5
13-2099.04,"Fraud Examiners, Investigators and Analysts",47.7,9.1,52.3,67.5,0.5498,Business & Financial,,,70.5,61.0
15-1211.00,Computer Systems Analysts,75.0,58.8,47.1,,0.75,Computer & Math,,,74.3,63.2
15-1211.01,Health Informatics Specialists,48.5,0.0,63.6,,0.485,Computer & Math,,,67.6,59.5
15-1212.00,Information Security Analysts,65.2,34.8,54.3,,0.652,Computer & Math,,,75.4,60.5
15-1221.00,Computer and Information Research Scientists,63.5,38.5,50.0,,0.635,Computer & Math,,,71.1,63.5
15-1231.00,Computer Network Support Specialists,63.5,46.2,53.8,,0.635,Computer & Math,,,71.9,58.5
15-1232.00,Computer User Support Specialists,61.1,44.4,66.7,,0.611,Computer & Math,,,68.1,60.2
15-1241.00,Computer Network Architects,66.4,39.1,55.5,,0.664,Computer & Math,,,73.7,61.5
15-1241.01,Telecommunications Engineering Specialists,60.6,31.9,53.2,,0.606,Computer & Math,,,60.3,60.2
15-1242.00,Database Administrators,93.5,87.1,59.7,,0.935,Computer & Math,,,74.2,60.0
15-1243.00,Database Architects,87.8,75.6,59.8,,0.878,Computer & Math,,,75.3,63.5
15-1243.01,Data Warehousing Specialists,94.4,88.9,69.4,,0.944,Computer & Math,,,71.7,63.5
15-1244.00,Network and Computer Systems Administrators,73.0,54.1,51.4,,0.73,Computer & Math,,,69.8,62.5
15-1251.00,Computer Programmers,95.0,90.0,68.3,,0.95,Computer & Math,,,65.6,60.5
15-1252.00,Software Developers,86.8,78.9,44.7,,0.868,Computer & Math,,,67.6,60.5
15-1253.00,Software Quality Assurance Analysts and Testers,87.7,80.7,61.4,,0.877,Computer & Math,,,64.2,61.0
15-1254.00,Web Developers,93.3,86.5,63.5,,0.933,Computer & Math,,,68.1,62.0
15-1255.00,Web and Digital Interface Designers,83.3,66.7,68.3,,0.833,Computer & Math,,,65.3,60.8
15-1255.01,Video Game Designers,66.7,33.3,58.3,,0.667,Computer & Math,,,63.2,63.0
15-1299.01,Web Administrators,91.3,82.6,67.4,,0.913,Computer & Math,,,69.0,59.0
15-1299.02,Geographic Information Systems Technologists and Technicians,59.3,18.5,60.2,,0.593,Computer & Math,,,68.0,60.0
15-1299.03,Document Management Specialists,61.1,22.2,67.8,,0.611,Computer & Math,,,59.3,59.0
15-1299.04,Penetration Testers,79.5,63.6,59.1,,0.795,Computer & Math,,,,
15-1299.05,Information Security Engineers,67.5,35.0,62.5,,0.675,Computer & Math,,,,
15-1299.06,Digital Forensics Analysts,72.5,45.0,65.0,,0.725,Computer & Math,,,,
15-1299.07,Blockchain Engineers,97.1,94.1,52.9,,0.971,Computer & Math,,,,
15-1299.08,Computer Systems Engineers/Architects,76.8,53.6,57.1,,0.768,Computer & Math,,,68.1,64.5
15-1299.09,Information Technology Project Managers,57.1,14.3,45.2,,0.571,Computer & Math,,,66.1,54.5
15-2011.00,Actuaries,50.0,0.0,53.7,67.5,0.5614,Computer & Math,,,77.8,63.5
15-2021.00,Mathematicians,100.0,100.0,69.0,59.1,0.7141,Computer & Math,,,77.7,62.7
15-2031.00,Operations Research Analysts,62.9,25.8,62.9,56.9,0.5032,Computer & Math,,,67.6,63.2
15-2041.00,Statisticians,78.9,57.9,71.1,67.9,0.7104,Computer & Math,,,75.0,61.0
15-2041.01,Biostatisticians,66.0,32.0,74.0,62.3,0.5812,Computer & Math,,,69.9,61.5
15-2051.00,Data Scientists,75.0,50.0,59.4,,0.75,Computer & Math,,,,
15-2051.01,Business Intelligence Analysts,69.7,39.4,57.6,,0.697,Computer & Math,,,56.9,59.0
15-2051.02,Clinical Data Managers,63.8,27.5,57.5,,0.638,Computer & Math,,,69.0,60.2
15-2099.01,Bioinformatics Technicians,86.7,76.7,65.0,,0.867,Computer & Math,,,67.1,61.5
17-1011.00,"Architects, Except Landscape and Naval",48.8,7.0,43.0,61.3,0.4836,Architecture & Engineering,,,68.1,58.0
17-1012.00,Landscape Architects,42.1,0.0,36.8,60.1,0.4362,Architecture & Engineering,,,66.6,68.2
17-1021.00,Cartographers and Photogrammetrists,52.0,4.0,46.0,69.4,0.5934,Architecture & Engineering,,,70.0,57.5
17-1022.00,Surveyors,48.9,11.1,43.3,62.8,0.5014,Architecture & Engineering,,,68.7,56.8
17-1022.01,Geodetic Surveyors,53.1,18.8,40.6,57.5,0.4611,Architecture & Engineering,,,,
17-2011.00,Aerospace Engineers,57.1,21.4,51.8,57.2,0.4776,Architecture & Engineering,,,71.4,57.8
17-2021.00,Agricultural Engineers,42.6,7.4,33.3,59.8,0.4352,Architecture & Engineering,,,71.8,61.3
17-2031.00,Bioengineers and Biomedical Engineers,59.0,23.1,53.8,,0.59,Architecture & Engineering,,,63.1,62.5
17-2041.00,Chemical Engineers,46.2,7.7,34.6,62.3,0.4822,Architecture & Engineering,,,,65.2
17-2051.00,Civil Engineers,44.6,7.1,37.5,55.0,0.3896,Architecture & Engineering,,,73.2,61.0
17-2051.01,Transportation Engineers,50.0,2.3,48.9,74.4,0.6412,Architecture & Engineering,,,60.7,58.0
17-2051.02,Water/Wastewater Engineers,50.0,7.3,50.0,,0.5,Architecture & Engineering,,,70.2,60.5
17-2061.00,Computer Hardware Engineers,72.7,54.5,31.8,70.0,0.7038,Architecture & Engineering,,,74.8,62.3
17-2071.00,Electrical Engineers,56.2,28.1,40.6,65.4,0.5681,Architecture & Engineering,,,65.9,61.3
17-2072.00,"Electronics Engineers, Except Computer",57.4,29.4,51.5,68.3,0.6076,Architecture & Engineering,,,66.9,63.7
17-2072.01,Radio Frequency Identification Device Specialists,66.7,42.9,38.1,,0.667,Architecture & Engineering,,,62.7,63.2
17-2081.00,Environmental Engineers,55.6,13.0,50.0,57.5,0.4736,Architecture & Engineering,,,53.5,65.5
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",47.0,12.0,52.0,,0.47,Architecture & Engineering,,,84.2,57.2
17-2111.02,Fire-Prevention and Protection Engineers,53.8,7.7,61.5,,0.538,Architecture & Engineering,,,,48.5
17-2112.00,Industrial Engineers,52.6,5.3,60.5,67.5,0.5744,Architecture & Engineering,,,77.7,63.5
17-2112.01,Human Factors Engineers and Ergonomists,51.0,14.0,52.0,62.9,0.5131,Architecture & Engineering,,,81.1,64.5
17-2112.02,Validation Engineers,70.2,50.0,47.6,,0.702,Architecture & Engineering,,,71.4,60.5
17-2112.03,Manufacturing Engineers,47.9,4.3,47.9,,0.479,Architecture & Engineering,,,63.9,64.2
17-2121.00,Marine Engineers and Naval Architects,42.1,10.5,40.4,,0.421,Architecture & Engineering,,,65.4,67.0
17-2131.00,Materials Engineers,48.8,14.6,31.7,52.5,0.3818,Architecture & Engineering,,,,61.8
17-2141.00,Mechanical Engineers,45.3,2.3,37.2,60.5,0.4568,Architecture & Engineering,,,79.4,63.5
17-2141.01,Fuel Cell Engineers,48.0,23.5,49.0,64.4,0.5154,Architecture & Engineering,,,79.3,64.5
17-2141.02,Automotive Engineers,66.0,36.0,64.0,65.0,0.6124,Architecture & Engineering,,,68.2,64.5
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",48.1,11.1,50.0,61.3,0.4801,Architecture & Engineering,,,,
17-2161.00,Nuclear Engineers,55.0,25.0,47.5,54.4,0.4347,Architecture & Engineering,,,,
17-2171.00,Petroleum Engineers,52.8,16.7,43.1,56.9,0.4526,Architecture & Engineering,,,,
17-2199.03,"Energy Engineers, Except Wind and Solar",54.9,9.8,50.0,66.9,0.5789,Architecture & Engineering,,,79.0,64.0
17-2199.05,Mechatronics Engineers,52.6,18.4,30.3,61.7,0.5072,Architecture & Engineering,,,64.7,61.8
17-2199.06,Microsystems Engineers,51.3,23.1,52.6,62.5,0.51,Architecture & Engineering,,,76.2,66.0
17-2199.07,Photonics Engineers,47.8,20.0,28.9,64.8,0.5191,Architecture & Engineering,,,69.7,65.0
17-2199.08,Robotics Engineers,59.1,40.9,47.7,55.6,0.4691,Architecture & Engineering,,,68.4,69.5
17-2199.09,Nanosystems Engineers,59.1,27.3,48.9,61.3,0.5351,Architecture & Engineering,,,66.4,63.7
17-2199.10,Wind Energy Engineers,47.4,10.5,52.6,58.8,0.4476,Architecture & Engineering,,,,
17-2199.11,Solar Energy Systems Engineers,46.0,8.0,46.0,61.3,0.4696,Architecture & Engineering,,,,
17-3011.00,Architectural and Civil Drafters,54.0,12.0,52.0,,0.54,Architecture & Engineering,,,65.8,60.8
17-3012.00,Electrical and Electronics Drafters,57.4,19.1,48.9,,0.574,Architecture & Engineering,,,60.4,52.2
17-3013.00,Mechanical Drafters,50.0,6.9,46.6,65.0,0.5324,Architecture & Engineering,,,,
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,32.5,10.0,22.5,64.4,0.4379,Architecture & Engineering,,,,
17-3022.00,Civil Engineering Technologists and Technicians,59.1,18.2,47.7,,0.591,Architecture & Engineering,,,60.0,64.8
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,40.6,18.9,33.0,,0.406,Architecture & Engineering,,,78.9,65.2
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,35.4,17.1,23.2,57.8,0.376,Architecture & Engineering,,,68.8,67.0
17-3024.01,Robotics Technicians,42.1,34.2,21.1,57.7,0.4084,Architecture & Engineering,,,73.6,69.2
17-3025.00,Environmental Engineering Technologists and Technicians,40.8,10.5,43.4,57.6,0.4008,Architecture & Engineering,,,62.5,56.2
17-3026.00,Industrial Engineering Technologists and Technicians,44.4,11.1,37.5,,0.444,Architecture & Engineering,,,81.1,60.5
17-3026.01,Nanotechnology Engineering Technologists and Technicians,39.4,23.4,36.2,,0.394,Architecture & Engineering,,,87.1,56.5
17-3027.00,Mechanical Engineering Technologists and Technicians,48.0,16.3,40.8,63.8,0.5085,Architecture & Engineering,,,72.8,60.8
17-3027.01,Automotive Engineering Technicians,27.8,5.6,22.2,66.6,0.44,Architecture & Engineering,,,71.4,52.5
17-3028.00,Calibration Technologists and Technicians,40.0,20.0,26.7,,0.4,Architecture & Engineering,,,,
17-3029.01,Non-Destructive Testing Specialists,29.3,0.0,27.6,69.2,0.4775,Architecture & Engineering,,,76.9,58.8
17-3029.08,Photonics Technicians,24.4,11.1,24.4,68.8,0.4484,Architecture & Engineering,,,86.2,59.5
17-3031.00,Surveying and Mapping Technicians,50.0,8.5,51.1,,0.5,Architecture & Engineering,,,,
19-1011.00,Animal Scientists,53.1,12.5,84.4,50.6,0.3813,Life & Physical Sciences,,,79.8,63.0
19-1012.00,Food Scientists and Technologists,34.6,0.0,50.0,62.8,0.43,Life & Physical Sciences,,,80.4,61.0
19-1013.00,Soil and Plant Scientists,48.9,0.0,63.0,61.5,0.4864,Life & Physical Sciences,,,82.4,66.8
19-1021.00,Biochemists and Biophysicists,45.5,13.6,44.3,59.8,0.4497,Life & Physical Sciences,,,82.7,64.0
19-1022.00,Microbiologists,39.6,8.3,31.2,62.8,0.455,Life & Physical Sciences,,,82.5,60.5
19-1023.00,Zoologists and Wildlife Biologists,45.2,9.5,52.4,57.5,0.4216,Life & Physical Sciences,,,82.5,61.5
19-1029.01,Bioinformatics Scientists,71.2,42.4,54.5,66.3,0.6534,Life & Physical Sciences,,,69.4,64.0
19-1029.02,Molecular and Cellular Biologists,48.8,17.1,43.9,59.8,0.4662,Life & Physical Sciences,,,74.0,59.2
19-1029.03,Geneticists,51.2,20.9,47.7,55.4,0.4273,Life & Physical Sciences,,,74.3,61.0
19-1029.04,Biologists,48.5,20.6,38.2,,0.485,Life & Physical Sciences,,,79.3,62.7
19-1031.00,Conservation Scientists,43.2,0.0,55.1,,0.432,Life & Physical Sciences,,,79.5,59.2
19-1031.02,Range Managers,37.1,0.0,40.3,,0.371,Life & Physical Sciences,,,,
19-1031.03,Park Naturalists,51.5,18.2,48.5,59.1,0.4716,Life & Physical Sciences,,,93.8,53.0
19-1032.00,Foresters,36.8,0.0,36.8,63.7,0.4514,Life & Physical Sciences,,,,
19-1041.00,Epidemiologists,44.2,0.0,55.8,,0.442,Life & Physical Sciences,,,85.1,61.8
19-1042.00,"Medical Scientists, Except Epidemiologists",52.3,18.2,56.8,41.9,0.2766,Life & Physical Sciences,,,84.0,58.2
19-2011.00,Astronomers,43.8,6.2,42.2,,0.438,Life & Physical Sciences,,,73.2,61.8
19-2012.00,Physicists,75.0,54.5,63.6,53.1,0.5197,Life & Physical Sciences,,,67.1,51.7
19-2021.00,Atmospheric and Space Scientists,56.5,17.4,60.9,72.2,0.6482,Life & Physical Sciences,,,55.7,59.0
19-2031.00,Chemists,38.0,8.0,40.0,57.5,0.3856,Life & Physical Sciences,,,77.7,61.0
19-2032.00,Materials Scientists,48.3,13.8,51.7,61.9,0.488,Life & Physical Sciences,,,72.4,61.3
19-2041.00,"Environmental Scientists and Specialists, Including Health",50.0,3.2,72.6,,0.5,Life & Physical Sciences,,,61.6,59.8
19-2041.01,Climate Change Policy Analysts,53.6,7.1,75.0,57.5,0.4636,Life & Physical Sciences,,,64.4,58.5
19-2041.02,Environmental Restoration Planners,52.2,8.7,65.2,64.4,0.5364,Life & Physical Sciences,,,,
19-2041.03,Industrial Ecologists,52.9,5.9,71.3,61.0,0.5006,Life & Physical Sciences,,,78.2,64.0
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",46.7,11.1,47.8,66.1,0.5287,Life & Physical Sciences,,,63.7,57.0
19-2043.00,Hydrologists,50.0,12.5,53.1,63.8,0.5185,Life & Physical Sciences,,,69.7,58.8
19-2099.01,Remote Sensing Scientists and Technologists,45.7,0.0,44.6,57.7,0.4264,Life & Physical Sciences,,,58.8,52.2
19-3011.00,Economists,50.0,0.0,45.8,60.6,0.4815,Life & Physical Sciences,,,66.5,62.5
19-3011.01,Environmental Economists,60.5,21.1,77.6,66.3,0.6,Life & Physical Sciences,,,67.7,60.5
19-3022.00,Survey Researchers,62.5,25.0,84.4,,0.625,Life & Physical Sciences,,,56.3,56.0
19-3032.00,Industrial-Organizational Psychologists,48.9,8.9,58.9,52.5,0.3822,Life & Physical Sciences,,,82.5,63.5
19-3033.00,Clinical and Counseling Psychologists,37.0,9.3,50.9,,0.37,Life & Physical Sciences,,,79.5,66.2
19-3034.00,School Psychologists,39.2,0.0,58.1,,0.392,Life & Physical Sciences,,,73.6,55.5
19-3039.02,Neuropsychologists,46.4,7.1,28.6,,0.464,Life & Physical Sciences,,,90.1,64.0
19-3039.03,Clinical Neuropsychologists,44.4,5.6,27.8,,0.444,Life & Physical Sciences,,,95.5,71.5
19-3041.00,Sociologists,53.8,15.4,61.5,68.1,0.5873,Life & Physical Sciences,,,70.1,65.0
19-3051.00,Urban and Regional Planners,47.7,0.0,58.0,53.8,0.3913,Life & Physical Sciences,,,49.3,57.5
19-3091.00,Anthropologists and Archeologists,44.0,5.2,51.7,,0.44,Life & Physical Sciences,,,77.4,62.0
19-3092.00,Geographers,50.0,16.7,37.5,,0.5,Life & Physical Sciences,,,75.9,62.0
19-3093.00,Historians,47.4,10.5,50.0,57.7,0.4349,Life & Physical Sciences,,,73.3,61.8
19-3094.00,Political Scientists,47.9,4.2,54.2,58.1,0.442,Life & Physical Sciences,,,74.6,63.2
19-3099.01,Transportation Planners,52.3,9.3,66.3,62.1,0.5104,Life & Physical Sciences,,,59.9,63.0
19-4012.00,Agricultural Technicians,31.9,19.4,16.7,,0.319,Life & Physical Sciences,,,52.2,56.8
19-4012.01,Precision Agriculture Technicians,50.0,9.1,50.0,,0.5,Life & Physical Sciences,,,,56.8
19-4013.00,Food Science Technicians,35.7,28.6,28.6,,0.357,Life & Physical Sciences,,,77.8,58.5
19-4021.00,Biological Technicians,41.7,20.0,26.7,60.6,0.44,Life & Physical Sciences,,,67.1,60.2
19-4031.00,Chemical Technicians,39.3,14.3,39.3,,0.393,Life & Physical Sciences,,,69.7,60.2
19-4042.00,"Environmental Science and Protection Technicians, Including Health",45.6,24.4,42.2,,0.456,Life & Physical Sciences,,,70.5,54.5
19-4043.00,"Geological Technicians, Except Hydrologic Technicians",39.0,4.9,30.5,,0.39,Life & Physical Sciences,,,65.5,48.0
19-4044.00,Hydrologic Technicians,50.0,18.8,53.1,,0.5,Life & Physical Sciences,,,,
19-4051.00,Nuclear Technicians,14.3,7.1,25.0,,0.143,Life & Physical Sciences,,,,
19-4051.02,Nuclear Monitoring Technicians,22.7,15.2,31.8,60.6,0.345,Life & Physical Sciences,,,81.8,55.8
19-4061.00,Social Science Research Assistants,66.7,42.4,62.1,70.0,0.6738,Life & Physical Sciences,,,63.2,59.2
19-4071.00,Forest and Conservation Technicians,32.7,7.7,32.7,,0.327,Life & Physical Sciences,,,70.9,60.0
