# File: gaia_occupations.csv
# Description: GAIA scores for 923 US occupations (O*NET-SOC 2018 codes).
#   Columns: O*NET-SOC Code, Title, dv_rating_alpha/beta/gamma,
#   human_rating_alpha/beta/gamma, sml_score, group,
#   aei_task_success, aei_autonomy_pct, aei_work_pct, gaia_e,
#   tot_emp, a_mean, a_median
# Wage columns (tot_emp = total employment, a_mean = mean annual wage,
#   a_median = median annual wage) merged from U.S. BLS OEWS, May 2025
#   national data (national_M2025_dl.xlsx), joined on 6-digit SOC code.
#   Blank where BLS publishes no annual estimate (e.g. hourly-only occupations).
# Updated: May 2026
#
# GAIA — Global AI Adoption Index
# © 2026 Leila Aghabarari. Licensed under CC BY 4.0.
# https://creativecommons.org/licenses/by/4.0/
#
# Citation (APA):
#   Aghabarari, L. (2026). GAIA — Global AI Adoption Index (Version 1.0).
#   Zenodo. https://doi.org/10.5281/zenodo.20320112
#
# Citation (BibTeX):
#   @misc{{aghabarari2026gaia,
#     author    = {{Aghabarari, Leila}},
#     title     = {{{{GAIA}}: {{G}}lobal {{AI}} {{A}}doption {{I}}ndex}},
#     year      = {{2026}},
#     version   = {{1.0}},
#     publisher = {{Zenodo}},
#     doi       = {{10.5281/zenodo.20320112}},
#     url       = {{https://doi.org/10.5281/zenodo.20320112}}
#   }}
#
# Underlying sources (must also be cited when used):
#   Anthropic Economic Index — Anthropic (2025), CC BY 4.0
#     https://huggingface.co/datasets/Anthropic/EconomicIndex
#   Eloundou et al. (2024) — Science 384(6702), DOI 10.1126/science.adj0998
#   Brynjolfsson, Mitchell & Rock (2018) — NBER WP 24196, CC BY 4.0
#     https://doi.org/10.3386/w24196
#
# Website: https://gaiaindex.org   |   Contact: aghabarari.leila@gmail.com
# Disclaimer: Views are the author's own and do not represent the IFC/World Bank.
O*NET-SOC Code,Title,dv_rating_alpha,dv_rating_beta,dv_rating_gamma,human_rating_alpha,human_rating_beta,human_rating_gamma,sml_score,group,aei_task_success,aei_autonomy_pct,aei_work_pct,gaia_e,tot_emp,a_mean,a_median
11-3031.01,Treasurers and Controllers,0.0,47.4,94.7,15.8,40.8,65.8,,Management,74.7,59.0,77.1,0.474,841710,186910,166570
11-3031.03,Investment Fund Managers,0.0,50.0,100.0,17.1,52.9,88.6,,Management,57.4,60.0,58.8,0.5,841710,186910,166570
11-3051.00,Industrial Production Managers,6.1,48.5,90.9,15.2,34.8,54.5,62.7,Management,,,,0.4983,246250,134170,126060
11-3051.01,Quality Control Systems Managers,7.5,50.9,94.3,18.9,47.2,75.5,65.0,Management,75.9,67.2,79.3,0.5369,246250,134170,126060
11-3051.02,Geothermal Production Managers,20.0,48.3,76.7,13.3,38.3,63.3,51.5,Management,74.1,68.5,70.4,0.3677,246250,134170,126060
11-3051.03,Biofuels Production Managers,0.0,28.6,57.1,7.1,17.9,28.6,71.9,Management,,,,0.5052,246250,134170,126060
11-3051.04,Biomass Power Plant Managers,3.1,32.8,62.5,12.5,28.1,43.8,59.8,Management,55.6,60.5,60.0,0.3862,246250,134170,126060
11-3051.06,Hydroelectric Production Managers,5.7,34.3,62.9,11.4,31.4,51.4,57.2,Management,,,,0.3637,246250,134170,126060
11-3061.00,Purchasing Managers,22.9,58.6,94.3,11.4,47.1,82.9,58.1,Management,60.4,57.5,84.5,0.4956,84320,156360,148080
11-3071.00,"Transportation, Storage, and Distribution Managers",3.6,48.2,92.9,17.9,47.3,76.8,,Management,74.5,60.8,67.2,0.482,221180,121600,107230
11-3071.04,Supply Chain Managers,0.0,49.1,98.2,14.5,47.3,80.0,,Management,64.2,65.0,85.5,0.491,221180,121600,107230
11-3111.00,Compensation and Benefits Managers,13.2,51.3,89.5,18.4,46.1,73.7,58.6,Management,81.3,59.2,91.1,0.4648,22940,162640,149230
11-3121.00,Human Resources Managers,4.0,48.0,92.0,14.0,45.0,76.0,69.8,Management,85.4,59.2,91.5,0.578,220660,164230,149280
11-3131.00,Training and Development Managers,9.1,50.0,90.9,4.5,47.7,90.9,,Management,73.9,65.8,85.2,0.5,48050,148370,133000
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",4.1,36.7,69.4,10.2,24.5,38.8,,Management,81.8,60.0,73.8,0.367,6500,99820,89900
11-9021.00,Construction Managers,4.4,44.4,84.4,20.0,40.0,60.0,63.3,Management,77.9,60.0,82.5,0.4848,380360,124360,114990
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",6.2,46.9,87.5,28.1,51.6,75.0,,Management,67.8,55.0,82.6,0.469,73660,64800,59300
11-9032.00,"Education Administrators, Kindergarten through Secondary",1.8,41.8,81.8,27.3,45.5,63.6,67.3,Management,68.0,57.8,70.1,0.518,328330,116100,105870
11-9033.00,"Education Administrators, Postsecondary",2.4,43.9,85.4,34.1,47.6,61.0,65.6,Management,70.0,58.2,85.0,0.5088,180470,126540,104590
11-9041.00,Architectural and Engineering Managers,0.0,47.1,94.3,11.4,38.6,65.7,55.8,Management,55.1,54.8,84.6,0.4114,220260,181540,171270
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,10.3,41.4,72.4,0.0,27.6,55.2,66.7,Management,93.3,66.8,,0.5091,220260,181540,171270
11-9051.00,Food Service Managers,6.2,41.7,77.1,18.8,39.6,60.4,61.1,Management,70.7,61.5,79.6,0.4458,238430,74880,69390
11-9071.00,Gambling Managers,32.4,57.4,82.4,26.5,48.5,70.6,,Management,83.7,59.0,75.0,0.574,5030,103050,93220
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",17.6,35.3,52.9,23.5,38.2,52.9,,Management,,50.7,51.6,0.353,37980,89750,79520
11-9081.00,Lodging Managers,4.3,45.7,87.0,26.1,38.0,50.0,72.7,Management,68.6,56.2,80.1,0.6,42620,78740,69250
11-9111.00,Medical and Health Services Managers,0.0,42.9,85.7,11.4,37.1,62.9,50.5,Management,68.7,58.2,86.6,0.3291,597080,140970,123860
11-9121.00,Natural Sciences Managers,13.3,56.7,100.0,36.7,56.7,76.7,61.7,Management,60.7,60.2,80.1,0.5277,108690,180250,167220
11-9121.01,Clinical Research Coordinators,15.3,52.5,89.8,22.0,46.6,71.2,60.6,Management,67.7,59.8,69.6,0.494,108690,180250,167220
11-9121.02,Water Resource Specialists,4.9,50.0,95.1,14.6,42.7,70.7,59.6,Management,73.1,53.8,69.2,0.4699,108690,180250,167220
11-9131.00,Postmasters and Mail Superintendents,14.3,52.4,90.5,23.8,45.2,66.7,,Management,,61.8,,0.524,13810,97360,96660
11-9141.00,"Property, Real Estate, and Community Association Managers",0.0,44.3,88.6,20.5,43.2,65.9,,Management,74.0,53.5,69.0,0.443,311180,83710,69990
11-9151.00,Social and Community Service Managers,7.1,39.3,71.4,25.0,44.6,64.3,,Management,63.2,57.0,85.7,0.393,209330,88880,80390
11-9161.00,Emergency Management Directors,0.0,42.2,84.4,40.0,60.0,80.0,60.0,Management,73.9,54.2,,0.4356,13500,102420,93330
11-9171.00,Funeral Home Managers,14.3,42.9,71.4,28.6,53.6,78.6,,Management,55.8,57.2,78.2,0.429,13910,92840,78790
11-9179.01,Fitness and Wellness Coordinators,8.7,38.0,67.4,8.7,29.3,50.0,,Management,84.8,61.3,27.0,0.38,10450,78190,69770
11-9179.02,Spa Managers,23.8,52.4,81.0,14.3,35.7,57.1,,Management,65.1,56.8,61.8,0.524,10450,78190,69770
11-9199.01,Regulatory Affairs Managers,11.5,55.8,100.0,19.2,53.8,88.5,55.4,Management,64.5,59.2,74.5,0.4503,622190,153890,141900
11-9199.02,Compliance Managers,8.0,52.0,96.0,34.0,54.0,74.0,60.8,Management,80.2,57.5,89.8,0.4938,622190,153890,141900
11-9199.08,Loss Prevention Managers,5.7,43.4,81.1,11.3,36.8,62.3,,Management,78.5,63.2,71.8,0.434,622190,153890,141900
11-9199.09,Wind Energy Operations Managers,6.2,43.8,81.2,18.8,40.6,62.5,,Management,90.9,58.0,75.0,0.438,622190,153890,141900
11-9199.10,Wind Energy Development Managers,6.7,53.3,100.0,26.7,53.3,80.0,61.7,Management,70.2,61.3,85.5,0.5107,622190,153890,141900
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,4.7,46.5,88.4,20.9,40.7,60.5,68.1,Management,,,,0.5508,622190,153890,141900
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",17.4,54.3,91.3,30.4,37.0,43.5,,Business & Financial,64.9,59.8,74.8,0.543,12620,141580,82890
13-1021.00,"Buyers and Purchasing Agents, Farm Products",5.6,52.8,100.0,5.6,25.0,44.4,61.3,Business & Financial,,62.0,,0.5036,491430,83770,77710
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",3.3,46.7,90.0,10.0,40.0,70.0,67.3,Business & Financial,63.0,52.5,,0.5426,491430,83770,77710
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",5.3,47.4,89.5,15.8,36.8,57.9,62.3,Business & Financial,70.9,54.5,78.0,0.4882,491430,83770,77710
13-1031.00,"Claims Adjusters, Examiners, and Investigators",8.0,52.0,96.0,18.0,49.0,80.0,,Business & Financial,69.1,53.2,68.5,0.52,324230,80470,78000
13-1032.00,"Insurance Appraisers, Auto Damage",0.0,50.0,100.0,14.3,50.0,85.7,,Business & Financial,,70.5,,0.5,11560,78900,78240
13-1041.00,Compliance Officers,45.5,68.2,90.9,45.5,61.4,77.3,,Business & Financial,75.3,51.2,85.4,0.682,417070,88400,80730
13-1041.01,Environmental Compliance Inspectors,17.1,45.1,73.2,29.3,48.8,68.3,63.1,Business & Financial,59.1,50.0,,0.4859,417070,88400,80730
13-1041.03,Equal Opportunity Representatives and Officers,40.0,60.0,80.0,36.7,50.0,63.3,,Business & Financial,82.5,65.0,96.6,0.6,417070,88400,80730
13-1041.04,Government Property Inspectors and Investigators,11.8,44.1,76.5,17.6,35.3,52.9,57.8,Business & Financial,60.5,51.2,83.8,0.4196,417070,88400,80730
13-1041.06,Coroners,13.5,33.8,54.1,32.4,45.9,59.5,63.8,Business & Financial,83.1,61.8,,0.4375,417070,88400,80730
13-1041.07,Regulatory Affairs Specialists,8.9,53.6,98.2,42.9,67.0,91.1,62.1,Business & Financial,71.9,55.5,71.9,0.5168,417070,88400,80730
13-1041.08,Customs Brokers,27.3,63.6,100.0,31.8,60.2,88.6,,Business & Financial,62.9,53.2,52.4,0.636,417070,88400,80730
13-1051.00,Cost Estimators,0.0,50.0,100.0,15.4,48.1,80.8,59.2,Business & Financial,71.6,60.2,82.7,0.4653,224220,85390,78740
13-1071.00,Human Resources Specialists,33.3,64.4,95.6,37.8,58.9,80.0,74.8,Business & Financial,79.8,59.0,92.4,0.7178,912430,81990,75940
13-1074.00,Farm Labor Contractors,0.0,14.3,28.6,0.0,0.0,0.0,59.1,Business & Financial,,,,0.2856,310,58470,58460
13-1075.00,Labor Relations Specialists,17.0,54.7,92.5,11.3,44.3,77.4,64.1,Business & Financial,79.4,53.5,89.2,0.5455,64810,98720,95420
13-1081.00,Logisticians,9.1,50.0,90.9,18.2,45.5,72.7,57.9,Business & Financial,66.1,60.2,80.0,0.4502,251040,89730,82320
13-1081.01,Logistics Engineers,3.5,51.8,100.0,47.4,68.4,89.5,57.0,Business & Financial,62.3,63.0,79.0,0.4488,251040,89730,82320
13-1081.02,Logistics Analysts,13.2,56.6,100.0,39.6,65.1,90.6,62.3,Business & Financial,75.9,60.0,78.3,0.5341,251040,89730,82320
13-1082.00,Project Management Specialists,10.0,55.0,100.0,5.0,40.0,75.0,,Business & Financial,,53.5,85.2,0.55,1066670,110740,102320
13-1111.00,Management Analysts,9.5,40.5,71.4,19.0,50.0,81.0,58.1,Business & Financial,62.4,63.5,76.2,0.405,898280,113790,101860
13-1121.00,"Meeting, Convention, and Event Planners",10.8,48.6,86.5,8.1,36.5,64.9,56.9,Business & Financial,58.6,56.5,67.6,0.4316,142860,66520,61160
13-1131.00,Fundraisers,15.4,51.9,88.5,25.0,49.0,73.1,53.1,Business & Financial,79.2,59.2,90.7,0.4042,111040,77200,72550
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",7.9,47.4,86.8,31.6,47.4,63.2,65.6,Business & Financial,63.9,64.5,69.2,0.5264,112380,84330,78210
13-1151.00,Training and Development Specialists,10.5,55.3,100.0,42.1,59.2,76.3,62.7,Business & Financial,59.4,65.0,75.4,0.5323,458300,75550,69280
13-1161.00,Market Research Analysts and Marketing Specialists,0.0,50.0,100.0,23.1,57.7,92.3,59.7,Business & Financial,55.5,61.8,63.4,0.471,899580,89490,78760
13-1161.01,Search Marketing Strategists,9.8,54.9,100.0,1.6,50.8,100.0,,Business & Financial,67.1,62.7,86.4,0.549,899580,89490,78760
13-1199.04,Business Continuity Planners,14.6,57.3,100.0,19.5,50.0,80.5,50.8,Business & Financial,65.8,61.5,64.8,0.4045,1087090,93970,83050
13-1199.05,Sustainability Specialists,21.4,60.7,100.0,42.9,67.9,92.9,63.3,Business & Financial,73.5,58.5,79.5,0.5662,1087090,93970,83050
13-1199.06,Online Merchants,36.2,62.9,89.7,31.0,56.0,81.0,63.1,Business & Financial,68.6,58.5,75.0,0.5749,1087090,93970,83050
13-1199.07,Security Management Specialists,17.4,52.2,87.0,13.0,41.3,69.6,,Business & Financial,68.3,63.0,70.9,0.522,1087090,93970,83050
13-2011.00,Accountants and Auditors,12.0,56.0,100.0,20.0,52.0,84.0,,Business & Financial,69.0,60.5,83.9,0.56,1449500,94750,83680
13-2022.00,Appraisers of Personal and Business Property,14.3,57.1,100.0,35.7,57.1,78.6,,Business & Financial,,,,0.571,57070,75770,67960
13-2023.00,Appraisers and Assessors of Real Estate,1.8,49.1,96.4,19.6,46.4,73.2,,Business & Financial,61.3,60.0,58.1,0.491,57070,75770,67960
13-2031.00,Budget Analysts,8.0,52.0,96.0,32.0,64.0,96.0,61.5,Business & Financial,80.0,60.0,71.8,0.5019,47160,96370,91640
13-2041.00,Credit Analysts,11.1,55.6,100.0,22.2,55.6,88.9,,Business & Financial,75.3,57.2,72.6,0.556,64390,100850,83510
13-2051.00,Financial and Investment Analysts,0.0,46.2,92.3,15.4,50.0,84.6,64.6,Business & Financial,58.4,60.2,49.1,0.5088,361980,116800,102740
13-2052.00,Personal Financial Advisors,5.3,50.0,94.7,39.5,67.1,94.7,61.3,Business & Financial,66.0,60.8,16.0,0.4896,266800,156670,105070
13-2053.00,Insurance Underwriters,14.3,57.1,100.0,14.3,50.0,85.7,62.5,Business & Financial,,55.0,,0.539,105420,93700,81370
13-2054.00,Financial Risk Specialists,6.7,53.3,100.0,23.3,58.3,93.3,,Business & Financial,65.2,62.0,56.6,0.533,63850,124420,117330
13-2061.00,Financial Examiners,6.1,50.0,93.9,30.3,57.6,84.8,66.9,Business & Financial,71.2,50.7,63.3,0.5544,67830,106240,94160
13-2071.00,Credit Counselors,27.3,62.5,97.7,45.5,69.3,93.2,72.5,Business & Financial,78.6,57.5,24.9,0.6817,27770,57210,52230
13-2072.00,Loan Officers,20.5,59.1,97.7,34.1,64.8,95.5,57.2,Business & Financial,74.8,58.5,53.2,0.4876,274330,87790,76690
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",19.4,58.1,96.8,45.2,67.7,90.3,65.3,Business & Financial,81.2,52.8,64.3,0.5764,56610,70520,62370
13-2082.00,Tax Preparers,25.0,62.5,100.0,25.0,62.5,100.0,75.6,Business & Financial,74.7,49.5,34.4,0.7176,76480,60930,54920
13-2099.01,Financial Quantitative Analysts,37.8,68.9,100.0,32.4,66.2,100.0,64.4,Business & Financial,64.3,60.5,65.7,0.62,132130,93810,81100
13-2099.04,"Fraud Examiners, Investigators and Analysts",9.1,47.7,86.4,18.2,52.3,86.4,67.5,Business & Financial,70.5,61.0,68.0,0.5498,132130,93810,81100
15-1211.00,Computer Systems Analysts,58.8,75.0,91.2,11.8,47.1,82.4,,Computer & Math,74.3,63.2,57.7,0.75,519530,114610,105850
15-1211.01,Health Informatics Specialists,0.0,48.5,97.0,36.4,63.6,90.9,,Computer & Math,67.6,59.5,57.2,0.485,519530,114610,105850
15-1212.00,Information Security Analysts,34.8,65.2,95.7,8.7,54.3,100.0,,Computer & Math,75.4,60.5,69.1,0.652,190650,132510,129180
15-1221.00,Computer and Information Research Scientists,38.5,63.5,88.5,23.1,50.0,76.9,,Computer & Math,71.1,63.5,71.5,0.635,37200,153930,140300
15-1231.00,Computer Network Support Specialists,46.2,63.5,80.8,23.1,53.8,84.6,,Computer & Math,71.9,58.5,67.1,0.635,146190,81870,76220
15-1232.00,Computer User Support Specialists,44.4,61.1,77.8,48.1,66.7,85.2,,Computer & Math,68.1,60.2,46.9,0.611,717190,67330,61860
15-1241.00,Computer Network Architects,39.1,66.4,93.8,20.3,55.5,90.6,,Computer & Math,73.7,61.5,72.8,0.664,179740,139580,134050
15-1241.01,Telecommunications Engineering Specialists,31.9,60.6,89.4,25.5,53.2,80.9,,Computer & Math,60.3,60.2,54.1,0.606,179740,139580,134050
15-1242.00,Database Administrators,87.1,93.5,100.0,29.0,59.7,90.3,,Computer & Math,74.2,60.0,85.3,0.935,69990,110090,104620
15-1243.00,Database Architects,75.6,87.8,100.0,24.4,59.8,95.1,,Computer & Math,75.3,63.5,82.2,0.878,67140,144440,139500
15-1243.01,Data Warehousing Specialists,88.9,94.4,100.0,38.9,69.4,100.0,,Computer & Math,71.7,63.5,80.9,0.944,67140,144440,139500
15-1244.00,Network and Computer Systems Administrators,54.1,73.0,91.9,16.2,51.4,86.5,,Computer & Math,69.8,62.5,58.9,0.73,314340,103680,99130
15-1251.00,Computer Programmers,90.0,95.0,100.0,43.3,68.3,93.3,,Computer & Math,65.6,60.5,58.2,0.95,92230,105170,100390
15-1252.00,Software Developers,78.9,86.8,94.7,5.3,44.7,84.2,,Computer & Math,67.6,60.5,74.3,0.868,1687890,148100,135980
15-1253.00,Software Quality Assurance Analysts and Testers,80.7,87.7,94.7,31.6,61.4,91.2,,Computer & Math,64.2,61.0,74.0,0.877,186740,111490,104300
15-1254.00,Web Developers,86.5,93.3,100.0,30.8,63.5,96.2,,Computer & Math,68.1,62.0,65.9,0.933,70190,98770,92650
15-1255.00,Web and Digital Interface Designers,66.7,83.3,100.0,36.7,68.3,100.0,,Computer & Math,65.3,60.8,64.2,0.833,113330,117490,104000
15-1255.01,Video Game Designers,33.3,66.7,100.0,16.7,58.3,100.0,,Computer & Math,63.2,63.0,53.2,0.667,113330,117490,104000
15-1299.01,Web Administrators,82.6,91.3,100.0,43.5,67.4,91.3,,Computer & Math,69.0,59.0,62.2,0.913,435370,122230,116580
15-1299.02,Geographic Information Systems Technologists and Technicians,18.5,59.3,100.0,24.1,60.2,96.3,,Computer & Math,68.0,60.0,74.6,0.593,435370,122230,116580
15-1299.03,Document Management Specialists,22.2,61.1,100.0,35.6,67.8,100.0,,Computer & Math,59.3,59.0,70.4,0.611,435370,122230,116580
15-1299.04,Penetration Testers,63.6,79.5,95.5,31.8,59.1,86.4,,Computer & Math,,,,0.795,435370,122230,116580
15-1299.05,Information Security Engineers,35.0,67.5,100.0,30.0,62.5,95.0,,Computer & Math,,,,0.675,435370,122230,116580
15-1299.06,Digital Forensics Analysts,45.0,72.5,100.0,35.0,65.0,95.0,,Computer & Math,,,,0.725,435370,122230,116580
15-1299.07,Blockchain Engineers,94.1,97.1,100.0,23.5,52.9,82.4,,Computer & Math,,,,0.971,435370,122230,116580
15-1299.08,Computer Systems Engineers/Architects,53.6,76.8,100.0,21.4,57.1,92.9,,Computer & Math,68.1,64.5,66.5,0.768,435370,122230,116580
15-1299.09,Information Technology Project Managers,14.3,57.1,100.0,4.8,45.2,85.7,,Computer & Math,66.1,54.5,84.8,0.571,435370,122230,116580
15-2011.00,Actuaries,0.0,50.0,100.0,22.2,53.7,85.2,67.5,Computer & Math,77.8,63.5,70.3,0.5614,26670,141480,130000
15-2021.00,Mathematicians,100.0,100.0,100.0,38.1,69.0,100.0,59.1,Computer & Math,77.7,62.7,21.4,0.7141,2030,129260,126710
15-2031.00,Operations Research Analysts,25.8,62.9,100.0,25.8,62.9,100.0,56.9,Computer & Math,67.6,63.2,66.8,0.5032,108510,99730,88940
15-2041.00,Statisticians,57.9,78.9,100.0,47.4,71.1,94.7,67.9,Computer & Math,75.0,61.0,39.1,0.7104,29030,115700,105650
15-2041.01,Biostatisticians,32.0,66.0,100.0,60.0,74.0,88.0,62.3,Computer & Math,69.9,61.5,52.8,0.5812,29030,115700,105650
15-2051.00,Data Scientists,50.0,75.0,100.0,25.0,59.4,93.8,,Computer & Math,,,,0.75,262440,126800,120230
15-2051.01,Business Intelligence Analysts,39.4,69.7,100.0,21.2,57.6,93.9,,Computer & Math,56.9,59.0,70.7,0.697,262440,126800,120230
15-2051.02,Clinical Data Managers,27.5,63.8,100.0,40.0,57.5,75.0,,Computer & Math,69.0,60.2,76.2,0.638,262440,126800,120230
15-2099.01,Bioinformatics Technicians,76.7,86.7,96.7,33.3,65.0,96.7,,Computer & Math,67.1,61.5,72.3,0.867,3720,91550,81490
17-1011.00,"Architects, Except Landscape and Naval",7.0,48.8,90.7,16.3,43.0,69.8,61.3,Architecture & Engineering,68.1,58.0,70.7,0.4836,106770,106260,99280
17-1012.00,Landscape Architects,0.0,42.1,84.2,5.3,36.8,68.4,60.1,Architecture & Engineering,66.6,68.2,66.1,0.4362,19600,88780,79870
17-1021.00,Cartographers and Photogrammetrists,4.0,52.0,100.0,8.0,46.0,84.0,69.4,Architecture & Engineering,70.0,57.5,73.4,0.5934,14260,86690,81390
17-1022.00,Surveyors,11.1,48.9,86.7,13.3,43.3,73.3,62.8,Architecture & Engineering,68.7,56.8,63.3,0.5014,50830,80570,75440
17-1022.01,Geodetic Surveyors,18.8,53.1,87.5,18.8,40.6,62.5,57.5,Architecture & Engineering,,,,0.4611,50830,80570,75440
17-2011.00,Aerospace Engineers,21.4,57.1,92.9,14.3,51.8,89.3,57.2,Architecture & Engineering,71.4,57.8,86.3,0.4776,67710,142060,134960
17-2021.00,Agricultural Engineers,7.4,42.6,77.8,0.0,33.3,66.7,59.8,Architecture & Engineering,71.8,61.3,55.7,0.4352,1480,108230,98590
17-2031.00,Bioengineers and Biomedical Engineers,23.1,59.0,94.9,25.6,53.8,82.1,,Architecture & Engineering,63.1,62.5,44.9,0.59,23480,116890,109370
17-2041.00,Chemical Engineers,7.7,46.2,84.6,7.7,34.6,61.5,62.3,Architecture & Engineering,,65.2,,0.4822,21070,129980,125040
17-2051.00,Civil Engineers,7.1,44.6,82.1,14.3,37.5,60.7,55.0,Architecture & Engineering,73.2,61.0,69.4,0.3896,367840,108670,100840
17-2051.01,Transportation Engineers,2.3,50.0,97.7,22.7,48.9,75.0,74.4,Architecture & Engineering,60.7,58.0,75.3,0.6412,367840,108670,100840
17-2051.02,Water/Wastewater Engineers,7.3,50.0,92.7,14.5,50.0,85.5,,Architecture & Engineering,70.2,60.5,54.4,0.5,367840,108670,100840
17-2061.00,Computer Hardware Engineers,54.5,72.7,90.9,18.2,31.8,45.5,70.0,Architecture & Engineering,74.8,62.3,56.1,0.7038,76660,162670,161740
17-2071.00,Electrical Engineers,28.1,56.2,84.4,15.6,40.6,65.6,65.4,Architecture & Engineering,65.9,61.3,62.7,0.5681,198750,125100,120630
17-2072.00,"Electronics Engineers, Except Computer",29.4,57.4,85.3,35.3,51.5,67.6,68.3,Architecture & Engineering,66.9,63.7,70.1,0.6076,96900,137280,130220
17-2072.01,Radio Frequency Identification Device Specialists,42.9,66.7,90.5,9.5,38.1,66.7,,Architecture & Engineering,62.7,63.2,44.7,0.667,96900,137280,130220
17-2081.00,Environmental Engineers,13.0,55.6,98.1,24.1,50.0,75.9,57.5,Architecture & Engineering,53.5,65.5,79.1,0.4736,38340,112910,107110
